Filtro,Cl,NO3,SO4,Na,NH4,Mg,C Orgánico,C Elemental,C Total,S,Ca,V,Cr,Fe,Cu,As,Se,Sr,Hg,Pb,Zn,Mn,Mo,Ni,Ti,Sb,OCPk1 C,OCPk2 C,OCPk3 C,OCPk4 C,OCPk5 C,OCPk6 C,OCPk7 C,OCPk8 C,Pyrol C,ECPk1 C,ECPk2 C,ECPk3 C,ECPk4 C,ECPk5 C,ECPk6 C,PM2.5,Na,Mg,Al,K,Co,Ag,Cd,Ba,Hg-ICPcr
Unidad,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
Método,C. Ionica y TXRF,C. Ionica,C. Ionica,C. Ionica,C. Ionica,C. Ionica,Método Niosh,Método Niosh,Método Niosh,TXRF,TXRF+ICPcr,TXRF+ICPcr,TXRF+ICPcr,TXRF+ICPcr,TXRF+ICPcr,TXRF+ICPcr,TXRF+ICPcr,TXRF,ICP-MS,ICP-MS+ICPcr,ICP-MS+ICPcr,ICP-MS+ICPcr,ICP-MS+ICPcr,ICP-MS y TXRF,ICP-MS+ICPcr,ICP-MS+ICPcr,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Método Niosh,Gravimetría,ICP CR,ICP CR,ICP CR,ICP CR,ICP CR,ICP CR,ICP CR,ICP CR,ICP CR
35,0.2266852078,1.902277035,0.8281270407,0.2473937967,2.617122637,,6.156569545,1.24084832,7.397417865,1.062529319,1.072956408,0.002784602872,,0.1272182137,0.005387027878,0.001497541488,0.0002995082977,0.00254169905,,0.00783683,0.06514256,0.00323675,0.00051506,0.00291978,0.01011111,0.00313304,2.271432012,0.8914580472,0.5000904573,0.9701784855,0.02348732723,0,0,0,1.49992185,0.1625319197,0.393701403,1.550589917,0.5774529711,0.023030564,0.008886188412,25.02966752,,,,,,,,,
36,0.1281999358,0.2985926851,0.3223936305,0.2544354508,0.8471057509,,3.975638634,0.7300071131,4.705645748,0.2319596073,0.434406615,,,0.07669933678,,0.0004502905774,,0.001350862775,,0.0015838,0.0262759,0.00532749,0.00045207,0.00183802,0.01087605,0.00047508,1.323664838,0.7110071316,0.3913766363,0.8138349879,0.01691330828,0,0,0,0.7188426809,0.06154242873,0.1745722299,0.7707446223,0.3844453575,0.02401965954,0.008892028823,11.83409399,,,,,,,,,
37,0.1253656226,0.206196279,0.2632001326,0.256367474,0.02449554573,,3.775842164,0.6140109143,4.389853079,0.2133401633,0.2279047,0.00110014,0.00123098,0.1438669535,0.01922504,0.00029974,,0.001655471895,,0.00444697,0.04022603,0.00676351,0.0002093,0.00224182,0.01988724,0.00079806,0.7840355655,0.8004950327,0.414688149,0.720451814,0.007383521365,0,0,0,1.048787292,0.1056460133,0.7078063208,0.6679134337,0.1507031621,0.01454807973,0.01618107386,12.04923844,0.6885357,0.12871752,0.2353063,0.3918091,0.00114457,0.00216616,0.00038136,0.0039867,0.00039892
38,0.1852796309,0.4073801326,0.1491586723,0.223256983,0.08348986594,,4.276386447,0.9881621564,5.264548603,0.1725798659,0.21426815,0.00059755,0.00080528,0.07845522101,0.03715867,0.00053221,0.00072399,0.001486872022,,0.02325189,0.08383627,0.00356026,0.00035649,0.000219,0.0060716,0.00485935,1.034743118,0.6523293645,0.2967389725,0.4768733117,0.00631383068,0,0,0,1.809388833,0.1252210874,0.9319721671,1.507692425,0.2046221749,0.01389669919,0.01414640846,8.92210097,0.8697409,0.13971336,0.13730327,0.5501805,0.0002626,0.00213883,0.00071659,0.00504124,0.00034873
39,0.161951288,0.5288239941,0.1162016529,0.2427616825,0.0814173636,,3.430327479,0.6822302818,4.11255776,0.09882927811,0.22946507,0.00059697,0.00026904,0.04505868262,0.01016999,0.00062465,,,,0.0045943,0.01994361,0.00230168,0.00019272,,0.00329032,0.00331719,0.8584396811,0.5603694974,0.287140575,0.5512838507,0.005513773512,0,0,0,1.167579195,0.08177437643,0.6610680929,0.916368428,0.1712687572,0.009241532701,0.01008832666,18.39301218,0.6138075,0.10478365,0.05680187,0.13903921,,0.00598869,0.00025185,0.00370805,0.00045103
40,0.2831131717,0.9249404341,0.3982462656,0.2780024456,0.4597028717,,6.820825181,1.173383523,7.994208704,0.5684174113,0.16016671,0.00155705,0.00338455,0.08842556726,0.01926111,0.00067147,0.0007716,0.001951833092,,0.01186781,0.08945387,0.00638323,0.00053322,0.00046992,0.01505882,0.00731006,1.722007705,1.130542239,0.4447639483,0.6905931274,0.008404913538,0,0,0,2.824514302,0.1956407391,1.389377039,2.082908458,0.2991959701,0.01695555573,0.01382030573,26.91963812,0.705719,0.14652679,0.13598404,0.54772603,0.00022531,0.00508244,0.00147071,0.00502661,0.00032743
41,0.1286495866,0.1309075962,0.07127444479,0.2347460526,0.01592907327,,2.360897515,0.425500904,2.786398419,0.12197247,0.57901512,0.00111767,0.00172559,0.25473053,0.02190029,0.00026143,,0.00491697,,0.00210949,0.03076128,0.00998751,0.00015152,0.00010594,0.03391262,0.00129253,0.571392389,0.5935781654,0.2564424039,0.4997266853,0.003859729009,0,0,0,0.4358980222,0.04211543292,0.1976548515,0.4716792481,0.1256945353,0.01590608798,0.008348646941,14.03174438,1.1201414,0.09876621,0.36248995,1.04268961,0.00034306,0.00177687,0.00026329,0.00809348,0.0002833
42,0.110916578,0.2689139495,0.1223499195,0.2902211419,0.02955672646,,2.690361656,0.3378061562,3.028167812,0.28158331,0.73731318,0.00087331,0.00013918,0.10383486,0.0334437,0.00029265,,0.0048521,,0.00139147,0.0204889,0.00417855,0.00023042,0.00013015,0.01619287,0.00046504,0.5785231965,0.6264661541,0.283294621,0.5475825556,0.004563331451,0,0,0,0.6499323681,0.04996224372,0.3894248886,0.4052411116,0.1231526354,0.01296143152,0.006996649512,9.923280448,2.0619789,0.27193608,0.25607776,1.86637137,0.00039603,0.0028947,0.00037938,0.00312567,
43,0.2974006838,0.3927878018,0.4616504104,0.3022636533,0.1527421985,,3.397881716,1.338739552,4.736621269,0.47363647,0.65554201,0.00318424,0.00118983,0.12742504,0.04556329,0.00069478,0.00064582,0.00311138,,0.00739808,0.0307096,0.00492458,0.00044706,0.00173732,0.01270926,0.00366356,1.007800636,0.6480699804,0.2695837044,0.5453194303,0.004775286655,0,0,0,0.9223331744,0.07391215414,0.5188676294,1.298396056,0.3399965305,0.01910339559,0.01079718345,9.430819562,1.8834678,0.15160923,0.20549518,1.58801024,0.00091159,0.00177001,0.00043963,0.01293523,
44,0.1239531855,0.4957332615,0.1180716755,0.3216976492,0.04520413227,,3.97380039,0.3346195379,4.308419928,,,0.00164723,0.00232906,0.14452794,0.08134258,0.00041551,,,,0.00388476,0.07536183,0.00457909,0.00076098,0.01345125,0.00873269,0.00149219,0.9216174854,1.133711474,0.3814632034,0.6257707976,0.006413701177,0,0,0,0.9048241841,0.0830936461,0.5941886548,0.4326457835,0.09292818551,0.02498131785,0.01160592799,9.159936428,2.1596524,0.24609102,0.25675217,1.74508396,0.00041321,0.002385,0.00023031,0.00483541,
