,temp,pres,rh,ws,PBLH,VentCoef
2019-06-02,289.1375,1020.3333333333334,76.375,0.9874999999999999,177.05,248.225
2019-06-03,288.2875,1022.25,73.79166666666667,1.7541666666666667,525.7619047619048,1509.661904761905
2019-06-04,289.16249999999997,1017.7083333333334,70.41666666666667,3.6625,1002.25,3998.5916666666667
2019-06-05,289.77500000000003,1011.5833333333334,75.33333333333333,3.279166666666667,1038.5833333333333,3780.6666666666665
2019-06-06,290.0416666666667,1010.0416666666666,77.08333333333333,1.7458333333333333,739.1363636363636,2078.377272727273
2019-06-07,285.87083333333334,1016.4583333333334,50.625,1.125,624.8235294117648,1760.4882352941177
2019-06-08,288.12916666666666,1016.375,51.833333333333336,2.1666666666666665,526.8333333333334,1324.6958333333334
2019-06-09,290.59166666666664,1011.7083333333334,71.70833333333333,1.6375,596.5714285714286,1249.5714285714287
2019-06-10,288.96666666666664,1014.6666666666666,84.29166666666667,1.9333333333333333,612.9047619047619,2018.1571428571426
2019-06-11,290.27500000000003,1009.0,89.70833333333333,2.4166666666666665,795.2083333333334,2227.225
2019-06-12,291.5416666666667,1008.6666666666666,89.83333333333333,1.8125,628.75,1673.685
2019-06-13,290.90833333333336,1007.75,93.83333333333333,2.1625,636.6086956521739,1799.1565217391303
2019-06-14,286.55,1014.8333333333334,88.75,3.0875,1010.0434782608696,4092.3869565217387
2019-06-15,287.18333333333334,1016.6666666666666,93.20833333333333,4.420833333333333,1513.375,7446.425
2019-06-16,290.14166666666665,1017.375,96.33333333333333,1.9791666666666667,480.375,1260.0333333333335
2019-06-17,286.65833333333336,1011.375,94.41666666666667,1.2083333333333333,536.7647058823529,1330.3
2019-06-18,285.51666666666665,1008.3333333333334,67.0,3.2458333333333336,956.0434782608696,4155.773913043478
2019-06-19,285.125,1016.6666666666666,68.79166666666667,1.6208333333333333,440.4736842105263,1357.6736842105263
2019-06-20,286.71250000000003,1018.2083333333334,75.08333333333333,2.1041666666666665,487.75,1248.075
2019-06-21,288.66249999999997,1016.3333333333334,85.41666666666667,1.0,411.5,865.13125
2019-06-22,290.95416666666665,1012.5,84.29166666666667,1.0541666666666667,150.8,259.745
2019-06-23,288.425,1007.4583333333334,90.70833333333333,1.3791666666666667,503.1,1155.575
2019-06-24,286.40833333333336,1001.0,84.20833333333333,3.3625000000000003,1198.375,5341.683333333333
2019-06-25,281.6875,1011.0833333333334,56.125,2.0625,761.0,2903.379166666666
2019-06-26,283.8333333333333,1011.0416666666666,47.041666666666664,3.9,1311.6666666666667,5897.970833333333
2019-06-27,286.43333333333334,1007.8333333333334,66.75,2.6791666666666667,774.4583333333334,2447.2208333333333
2019-06-28,286.675,1005.7083333333334,89.95833333333333,1.3666666666666665,427.2173913043478,769.6869565217391
2019-06-29,284.76666666666665,1009.25,90.875,1.8375000000000001,602.9565217391304,1666.9739130434784
2019-06-30,280.76666666666665,1018.1666666666666,76.20833333333333,2.0375,613.8181818181819,1719.4227272727273
2019-07-01,283.1958333333333,1008.25,61.25,2.6999999999999997,687.9130434782609,2216.595652173913
2019-07-02,282.8541666666667,1006.375,54.791666666666664,2.9166666666666665,861.4166666666666,3211.5875
2019-07-03,280.8666666666667,1012.875,60.041666666666664,2.533333333333333,923.4166666666666,2946.875
2019-07-04,279.125,1021.2916666666666,62.75,3.2541666666666664,1179.7916666666667,4352.2625
2019-07-05,278.9916666666667,1026.9166666666667,66.875,1.6124999999999998,759.65,2628.0099999999998
2019-07-06,280.3958333333333,1025.8333333333333,61.375,1.4958333333333333,538.0,1331.7777777777778
2019-07-07,283.33750000000003,1021.8333333333334,55.875,2.408333333333333,839.8333333333334,2276.0208333333335
2019-07-08,285.05,1019.0,64.83333333333333,1.5791666666666666,444.0833333333333,874.5791666666668
2019-07-09,286.3208333333333,1016.5833333333334,73.04166666666667,1.075,334.6190476190476,495.9428571428572
2019-07-10,285.58750000000003,1012.7083333333334,82.33333333333333,0.775,295.05,385.28000000000003
2019-07-11,288.3833333333333,1009.375,84.25,1.991666666666667,598.5416666666666,1216.6416666666667
2019-07-12,284.52916666666664,1013.7916666666666,86.95833333333333,1.6208333333333333,514.3636363636364,1147.418181818182
2019-07-13,281.87083333333334,1016.875,82.45833333333333,0.7583333333333333,167.8421052631579,287.91052631578947
2019-07-14,284.2916666666667,1017.4166666666666,81.20833333333333,0.9583333333333334,192.7058823529412,341.1764705882353
2019-07-15,283.6375,1020.2916666666666,71.16666666666667,0.7208333333333333,286.6923076923077,470.91538461538465
2019-07-16,285.7375,1021.375,59.583333333333336,3.1125000000000003,811.1666666666666,3066.070833333333
2019-07-17,287.1166666666667,1016.75,66.08333333333333,2.9,916.2083333333334,3573.2291666666665
