date,PM2.5,Cl,NO3,SO4,Na,NH4,Mg,Al,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Mo,Ag,Cd,Sb,Ba,Pb,OCPk1 C,OCPk2 C,OCPk3 C,OCPk4 C,OCPk5 C,Pyrol C,ECPk1 C,ECPk2 C,ECPk3 C,ECPk4 C,ECPk5 C,ECPk6 C,C Orgánico,C Elemental,C Total,Event,ws,wd,temp,rh,pres,blh
2019-04-06 20:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,2.6,318,292.6,59,1016,926.5
2019-04-06 21:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,1.5,320,291.9,59,1016,548.9
2019-04-06 22:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,2.1,322,290.8,64,1017,282.8
2019-04-06 23:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,1,323,289.6,71,1017,278.9
2019-04-07 00:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,1,316,288.1,76,1018,282.8
2019-04-07 01:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,1.5,273,287.9,79,1017,276.9
2019-04-07 02:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,2.1,273,287.8,80,1017,270.5
2019-04-07 03:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,0.5,273,288.8,72,1017,255.3
2019-04-07 04:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,1,274,287.4,80,1017,243.6
2019-04-07 05:00:00,21.04,0.5406,0.6385,0.5843,0.4838,0.1275,0.2111,0.3311,0.582,0.4011,0.006063,0.001648,0.001921,0.003117,0.1207,0.0001131,0.001056,0.00753,0.01026,0.000614,0,0.0002896,6.893e-05,0.0002093,0.002286,0.006609,0.02286,2.187,1.775,0.8061,1.353,0.02989,1.265,0.1202,0.3477,1.214,0.3006,0.02507,0.0312,6.873,0.7551,7.629,no,1,267,286.2,86,1017,231
