"ID";"volumen_aforo";"area_analizada";"area_material";"Be";"Na";"Mg";"Al";"K";"Ca";"Ti";"V";"Cr";"Mn";"Fe";"Co";"Ni";"Cu";"Zn";"As";"Se";"Mo";"Ag";"Cd";"Sb";"Ba";"Hg";"Pb";"Lote";"Blanco"
63;50;44,45;406,4508;0,275;12688,3265896547;969,236489658741;892,186125369854;723,56326589658;3197,23652145789;32,3523201258964;8,03201236589658;11,1373214569854;7,93732025362558;401,313202154785;0,015;15,9643202365236;16,8452365214587;79,9432021547854;0,782326547951248;0,06;1,13632566698547;0,454365896523578;0,766320125478596;1,6732012589658;51,9873652120125;0,13;18,8942566325896;"14";"0"
64;50;44,45;406,4508;0,275;11041,2365874589;591,315684597264;698,754236541254;942,32658745896;2752,32012547856;29,6743265210236;5,30723654125897;9,73832012365478;9,42732564125789;395,014231546987;0,2;14,9342365231123;16,54321252589;92,0543201254785;0,71431203579512;0,06;0,981321022102547;0,443356214524785;0,265;1,13832012547859;44,4083265547859;0,13;7,4682365214521;"14";"0"
65;50;44,45;406,4508;0,275;11469,3201254785;881,201365478965;874,478321025698;865,569854785698;2882,32036589658;31,8893203652145;3,94823654589712;9,94832021236547;11,9732012547856;381,581320125478;0,564236521478596;16,4546547851254;20,4072365212541;348,365321021547;0,776321569854785;0,06;1,30232520012547;0,474326521547857;0,265;2,17732569854785;50,6623201245478;0,13;11,8132563254125;"14";"0"
66;50;44,45;406,4508;0,275;11572,3265984751;805,023562036985;606,045236521458;661,326547856985;2572,32652145879;17,1742136589658;3,43132658965478;9,74521365478965;4,91320125478569;198,403320125478;0,485320125478569;11,1451478523654;22,7732365214523;104,174326521254;0,859326547856985;0,06;1,09932145214785;0,446326548542547;0,265;2,94232265221452;46,0983265214587;0,11;21,2263202145874;"14";"0"
67;50;44,45;406,4508;0,275;11233,3201203654;835,352698547852;830,479365214589;1032,36541202365;3074,32652154785;35,0182365414785;2,80223658965874;18,6522136547856;18,3892032152458;763,061325614587;0,459320125478556;11,5055063202563;87,6442123652145;232,272320125478;1,48565896325632;0,06;2,07132145879652;0,456321000215478;1,77535555698521;19,8663652145896;65,3823252012589;0,13;74,6943225001254;"14";"0"
68;50;44,45;406,4508;0,275;11948,2365896547;1036,10256329875;919,353365214658;783,20154785693;3598,32036521458;29,3923145203652;5,78932658958745;15,0552314569854;10,2832012547589;385,045236514558;0,2;9,31523685963258;29,2042145896325;122,903320125478;0,619321458755896;0,06;1,69632564785412;0,278326521457856;0,265;4,59532652145896;51,6563250214258;0,13;29,6773250012458;"14";"0"
69;50;44,45;406,4508;0,275;11895,5213698547;857,236589745812;734,594356214587;604,236521458965;3251,32658965874;18,7122362214589;1,10423145698547;9,16432658965874;2,04632652145785;162,069326521452;0,2;8,28132021547859;15,7962136521458;72,5033201254785;0,25;0,06;0,055;0,965326521458965;0,265;0,565320125478569;46,4332563258965;0,13;1,55732563221102;"14";"1"
23;50;44,45;406,4508;0,275;13767,6940478319;959,793351010102;661,570173500559;235;2926,45993120011;14,8394419401983;1,42395423635093;11,8714544096353;11,9596178904741;1271,56413823249;0,2;50,651071935535;3,6649774847992;145,97623346931;0,25;1,62995004349984;0,922485833945954;0,263034136505776;0,265;0,25;39,6706238842639;0,13;0,235;"23";"1"
70;50;44,45;406,4508;0,275;16327,8988816581;1360,21005779952;1398,38780911901;1259,85409628386;4290,96788184451;50,3856165126904;4,24245518665446;10,5150217481891;15,9827404771081;845,211639960207;0,2;29,1309179815345;18,0202966277575;244,84568839486;1,01318598603597;2,23763893337823;1,37597751285879;0,267649663370504;0,885069805445927;6,16867370717538;62,1128946031894;0,11;47,2105379858134;"23";"0"
71;50;44,45;406,4508;0,275;16872,9051952923;1336,69131758989;1071,9490964687;1151,69235225936;4076,29258618343;30,0048974228338;22,3061242387354;11,1366218218613;8,96161238255083;436,456011517569;0,2;41,4202945577927;15,5448427601146;213,356858690709;1,71774417542611;6,58667860411976;1,42090241000153;0,314654980461445;0,628795429241584;4,77234054588777;51,0810557038248;0,13;25,8031673521177;"23";"0"
72;50;44,45;406,4508;0,275;17306,1363212061;1448,99349292864;1238,85771491609;802,034802002023;4315,12311606236;38,2541909909365;6,62060034769662;11,7913534051821;9,94411067215503;505,8647889181;0,2;96,2463238875011;20,7925672585683;286,2750259339;1,59606428012112;6,77326151449765;1,41546309670291;0,293742877196697;0,265;4,90238947335534;53,7757383764752;0,543376594000697;29,7754458042281;"23";"0"
