date,NO,NO2,NOx,CO,O3,SO2,aqsite,t2,rh2,slp,wspd,wdir,calm,meteosite,gas_emcycle,aer_emcycle,month,U,V,daynight,datatype
2019-07-20T09:00:00Z,0.007161666666666667,0.017968333333333333,0.025123333333333334,0.3003533333333333,0.005323333333333333,0.0017898641533844566,CNEA-CAC,14.6,90,1014.5,1.94,320,0,OBS,1.1205,1.076470066169,07,1.7531879172229912,-0.830621530483836,morning,training
2019-07-20T10:00:00Z,0.01431,0.019081666666666667,0.03338833333333333,0.362125,0.005113333333333334,0.001817226005306559,CNEA-CAC,15.5,86,1014.7,2.5,320,0,OBS,1.1039,1.10789984912284,07,2.259262779926535,-1.0703885702111289,morning,training
2019-07-20T11:00:00Z,0.02046,0.019716666666666667,0.04017333333333333,0.37394,0.0052749999999999984,0.0019612545238953255,CNEA-CAC,17.2,80,1014.4,1.67,360,0,OBS,1.0873,1.10789984912284,07,-0.47376412278250063,1.6013892581018918,morning,training
2019-07-20T12:00:00Z,0.026553333333333335,0.022691666666666666,0.04924666666666667,0.47315,0.0036183333333333345,0.0018119497091507591,CNEA-CAC,17.4,81,1013.9,1.94,340,0,OBS,1.07485,1.1157572948613,07,1.473756521414016,1.2616028359153522,day,training
2019-07-20T13:00:00Z,0.018623333333333332,0.021971666666666667,0.040591666666666665,0.45002333333333333,0.004698333333333332,0.002080978227739526,CNEA-CAC,17.7,82,1012.7,3.61,360,0,OBS,1.0707,1.1157572948613,07,-1.0241248402663636,3.4616857615256467,day,training
2019-07-20T14:00:00Z,0.015568333333333333,0.022776666666666667,0.038356666666666664,0.42693333333333333,0.004888333333333335,0.002250006746328293,CNEA-CAC,19,79,1011.1,1.94,360,0,OBS,1.0624,1.12361474059976,07,-0.550360717483863,1.8602965034237546,day,training
2019-07-20T15:00:00Z,0.016793333333333334,0.023891666666666665,0.04068666666666667,0.39014,0.003993333333333331,0.002332368598250388,CNEA-CAC,18.8,83,1010,2.5,360,0,OBS,1.079,1.1550445235536,07,-0.7092277287163183,2.3972893085357665,day,training
2019-07-20T16:00:00Z,0.012006666666666667,0.02175,0.03376,0.3606666666666667,0.005148333333333335,0.0022363971168391575,CNEA-CAC,19.4,80,1008.6,3.06,360,0,OBS,1.0956,1.17075941503052,07,-0.8680947399487736,2.934282113647778,day,training
2019-07-20T17:00:00Z,0.030178333333333335,0.02715,0.057325,0.5200983333333333,0.002671666666666666,0.0023854256354279256,CNEA-CAC,19.3,82,1008.8,1.67,360,0,OBS,1.12465,1.17861686076898,07,-0.47376412278250063,1.6013892581018918,day,training
2019-07-20T18:00:00Z,0.030098333333333335,0.02649666666666667,0.056595,0.5200266666666666,0.002521666666666665,0.002207787487350024,CNEA-CAC,19.3,82,1007.9,2.5,360,0,OBS,1.1703,1.18647430650744,07,-0.7092277287163183,2.3972893085357665,day,training
2019-07-20T19:00:00Z,0.015208333333333334,0.020235,0.035436666666666665,0.3901833333333333,0.0038583333333333317,0.002193482672605461,CNEA-CAC,19,83,1007.4,3.61,360,0,OBS,1.2865,1.17075941503052,07,-1.0241248402663636,3.4616857615256467,day,training
2019-07-20T20:00:00Z,0.013703333333333333,0.018183333333333333,0.03188833333333333,0.3625966666666667,0.003553333333333332,0.0022091778578608966,CNEA-CAC,18.8,83,1006.7,3.06,360,0,OBS,1.33298,1.17861686076898,07,-0.8680947399487736,2.934282113647778,day,training
2019-07-20T21:00:00Z,0.016143333333333332,0.019428333333333332,0.03557,0.401385,0.0037550000000000014,0.002429873043116329,CNEA-CAC,18.9,82,1006,3.06,360,0,OBS,1.3031,1.09218495764592,07,-0.8680947399487736,2.934282113647778,night,training
2019-07-20T22:00:00Z,0.006031666666666667,0.015791666666666666,0.021846666666666667,0.28292833333333334,0.0048533333333333345,0.0022922348950384294,CNEA-CAC,18.9,83,1005.3,3.61,360,0,OBS,0.747,0.920499768260574,07,-1.0241248402663636,3.4616857615256467,night,training
2019-07-20T23:00:00Z,0.002335,0.01237,0.014703333333333334,0.25907833333333335,0.007633333333333332,0.001876263413627191,CNEA-CAC,18.6,84,1004.7,3.61,320,0,OBS,0.3015,0.506627747591389,07,3.2623754542139163,-1.54564109538487,night,training
2019-07-21T00:00:00Z,0.001055,0.009436666666666666,0.010483333333333334,0.23065666666666668,0.010858333333333334,0.002110291932215961,CNEA-CAC,19.1,80,1003.9,3.61,320,0,OBS,0.2546,0.405302198073111,07,3.2623754542139163,-1.54564109538487,night,training
2019-07-21T01:00:00Z,5.3e-4,0.005755,0.006275,0.20898666666666665,0.012733333333333333,0.0019509871174713915,CNEA-CAC,18.8,80,1003,3.61,320,0,OBS,0.268,0.337751831727593,07,3.2623754542139163,-1.54564109538487,night,training
2019-07-21T02:00:00Z,4.916666666666666e-4,0.004651666666666667,0.0051533333333333336,0.20882,0.015519999999999999,0.0018850156360601597,CNEA-CAC,19.3,79,1002.7,1.94,320,0,OBS,0.2546,0.285424083150078,07,1.7531879172229912,-0.830621530483836,night,training
2019-07-21T03:00:00Z,5.133333333333333e-4,0.004246666666666667,0.00475,0.20811333333333332,0.015084999999999998,0.0017907108213155963,CNEA-CAC,20.1,76,1002.5,4.17,320,0,OBS,0.1675,0.260053053536738,07,3.7684503169174604,-1.785408135112163,night,training
2019-07-21T04:00:00Z,4.766666666666667e-4,0.004076666666666667,0.004548333333333333,0.21002833333333332,0.015633333333333332,0.0019180726732376946,CNEA-CAC,20.1,77,1002.1,3.61,320,0,OBS,0.134,0.228339266520063,07,3.2623754542139163,-1.54564109538487,night,training
2019-07-21T05:00:00Z,4.0666666666666667e-4,0.004338333333333334,0.004748333333333334,0.21653,0.015448333333333335,0.0018787678584931272,CNEA-CAC,20.1,78,1001.5,3.06,320,0,OBS,0.1742,0.221996509116728,07,2.7653376426300786,-1.3101556099384217,night,training
2019-07-21T06:00:00Z,9.066666666666666e-4,0.010285,0.011193333333333333,0.26212,0.012281666666666666,0.0018661297104152277,CNEA-CAC,19.7,80,1001.3,3.06,320,0,OBS,0.3283,0.241024781326733,07,2.7653376426300786,-1.3101556099384217,morning,training
2019-07-21T07:00:00Z,7.433333333333334e-4,0.009383333333333334,0.010136666666666667,0.24544833333333332,0.01363,0.001933491562337325,CNEA-CAC,19.8,79,1001,3.06,320,0,OBS,0.66598,0.291766840553414,07,2.7653376426300786,-1.3101556099384217,morning,training
2019-07-21T08:00:00Z,5.9e-4,0.004696666666666667,0.005295,0.21320833333333333,0.01569333333333333,0.002032520080926095,CNEA-CAC,19.8,78,1001.1,4.17,320,0,OBS,0.8911,0.627932982930173,07,3.7684503169174604,-1.785408135112163,morning,training
2019-07-21T09:00:00Z,5.85e-4,0.004233333333333334,0.004843333333333333,0.20716666666666667,0.01736,0.001793215266181529,CNEA-CAC,20.9,74,1001.1,3.61,320,0,OBS,0.9045,0.868957764256905,07,3.2623754542139163,-1.54564109538487,morning,training
2019-07-21T10:00:00Z,6.516666666666667e-4,0.003815,0.004476666666666667,0.20914833333333332,0.017536666666666666,0.0019072437847702933,CNEA-CAC,22.8,65,1001.7,5.28,320,0,OBS,0.8911,0.894328793870246,07,4.771562991204842,-2.2606606602859043,morning,training
2019-07-21T11:00:00Z,9.183333333333333e-4,0.004588333333333333,0.0055116666666666665,0.21889333333333333,0.017321666666666666,0.002039605636692393,CNEA-CAC,23.9,60,1001.7,5.28,320,0,OBS,0.8777,0.894328793870246,07,4.771562991204842,-2.2606606602859043,morning,training
